index,name,imdb_url,screentime,episodes,portrayed_by_name,portrayed_by_imdb_url
154,Melessa Tarly,http://www.imdb.com/character/ch0541191/,3.3,unspecified,Samantha Spiro,http://www.imdb.com/name/nm0819087/
155,Amory Lorch,http://www.imdb.com/character/ch0305002/,3.3,4,Fintan McKeown,http://www.imdb.com/name/nm0571654/
156,Illyrio Mopatis,http://www.imdb.com/character/ch0172909/,3.3,2,Roger Allam,http://www.imdb.com/name/nm0019885/
157,Smalljon Umber,http://www.imdb.com/character/ch0540067/,3.3,2,Dean S. Jagger,http://www.imdb.com/name/nm2746504/
158,Bowen Marsh,http://www.imdb.com/character/ch0305036/,3.3,9,Brian Fortune,http://www.imdb.com/name/nm1987270/
159,Tycho Nestoris,http://www.imdb.com/character/ch0468190/,3.15,2,Mark Gatiss,http://www.imdb.com/name/nm0309693/
160,Kovarro,http://www.imdb.com/character/ch0304969/,3.15,6,Steven Cole,http://www.imdb.com/name/nm0170799/
161,Maester Cressen,http://www.imdb.com/character/ch0255280/,3.15,unspecified,Oliver Ford Davies,http://www.imdb.com/name/nm0203882/
162,Robett Glover,http://www.imdb.com/character/ch0541747/,3.0,unspecified,Tim McInnerny,http://www.imdb.com/name/nm0570570/
163,Hallyne,http://www.imdb.com/character/ch0259178/,3.0,2,Roy Dotrice,http://www.imdb.com/name/nm0234541/
164,High Priestess,http://www.imdb.com/character/ch0539898/,3.0,2,Souad Faress,http://www.imdb.com/name/nm0267256/
165,Vardis Egen,http://www.imdb.com/character/ch0294458/,3.0,2,Brendan McCormack,http://www.imdb.com/name/nm1788152/
166,Marillion,http://www.imdb.com/character/ch0305001/,3.0,4,Emun Elliott,http://www.imdb.com/name/nm2047170/
167,Mero,http://www.imdb.com/character/ch0123670/,3.0,unspecified,Mark Killeen,http://www.imdb.com/name/nm2075330/
168,Marei,http://www.imdb.com/character/ch0431527/,3.0,6,Josephine Gillan,http://www.imdb.com/name/nm4982706/
169,Izembaro,http://www.imdb.com/character/ch0540561/,2.45,3,Richard E. Grant,http://www.imdb.com/name/nm0001290/
170,Lommy Greenhands,http://www.imdb.com/character/ch0257030/,2.45,4,Eros Vlahos,http://www.imdb.com/name/nm2869309/
171,Old Nan,http://www.imdb.com/character/ch0305018/,2.45,4,Margaret John,http://www.imdb.com/name/nm0424191/
172,Joyeuse Erenford,http://www.imdb.com/character/ch0304494/,2.45,2,Kelly Long,http://www.imdb.com/name/nm4958677/
173,Mord,http://www.imdb.com/character/ch0229099/,2.45,2,Ciaran Bermingham,http://www.imdb.com/name/nm2197118/
174,Waymar Royce,http://www.imdb.com/character/ch0171390/,2.45,unspecified,Rob Ostlere,http://www.imdb.com/name/nm3209935/
175,Kinvara,http://www.imdb.com/character/ch0540065/,2.3,unspecified,Ania Bukstein,http://www.imdb.com/name/nm0119804/
176,Talla Tarly,http://www.imdb.com/character/ch0523897/,2.3,unspecified,Rebecca Benson,http://www.imdb.com/name/nm5039410/
177,Daisy,http://www.imdb.com/character/ch0305015/,2.3,3,Maisie Dee,http://www.imdb.com/name/nm3996678/
178,Gared,http://www.imdb.com/character/ch0171395/,2.3,unspecified,Dermot Keaney,http://www.imdb.com/name/nm0443825/
179,Ilyn Payne,http://www.imdb.com/character/ch0246254/,2.15,4,Wilko Johnson,http://www.imdb.com/name/nm3330122/
180,Roslin Frey,http://www.imdb.com/character/ch0391563/,2.15,unspecified,Alexandra Dowling,http://www.imdb.com/name/nm5093301/
181,Ternesio Terys,http://www.imdb.com/character/ch0473552/,2.0,2,Gary Oliver,http://www.imdb.com/name/nm1146807/
182,Quaithe,http://www.imdb.com/character/ch0305022/,1.45,2,Laura Pradelska,http://www.imdb.com/name/nm3671418/
183,Hugh of the Vale,http://www.imdb.com/character/ch0305026/,1.45,2,Jefferson Hall,http://www.imdb.com/name/nm2131630/
184,Rorge,http://www.imdb.com/character/ch0305019/,1.45,4,Andy Beckwith,http://www.imdb.com/name/nm0065874/
185,Tickler,http://www.imdb.com/character/ch0305033/,1.45,2,Anthony Morris,http://www.imdb.com/name/nm1677757/
186,Lollys Stokeworth,http://www.imdb.com/character/ch0511247/,1.45,unspecified,Elizabeth Cadwallader,http://www.imdb.com/name/nm5502252/
187,Mhaegen,http://www.imdb.com/character/ch0305038/,1.15,2,Antonia Christophers,http://www.imdb.com/name/nm4460936/
188,Biter,http://www.imdb.com/character/ch0305028/,1.15,5,Gerard Jordan,http://www.imdb.com/name/nm0429956/
189,Lhara,http://www.imdb.com/character/ch0476558/,1.15,3,Sarine Sofair,http://www.imdb.com/name/nm3330066/
190,Tobho Mott,http://www.imdb.com/character/ch0305039/,1.15,2,Andrew Wilde,http://www.imdb.com/name/nm0928408/
